Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time
./repos/c/nanomsg/build/device6,312,1,69,69,51527,746.768115942029,1,0,0.81889763779527558,0.18110236220472442,31360,3.9654541015625
./repos/c/nanomsg/build/device7,312,1,67,67,73455,1096.3432835820895,1,0,0.82321899736147752,0.17678100263852242,31320,4.087388038635254
./repos/c/nanomsg/build/emfile,1046,1,1019,1019,327040,320.94210009813543,1,0,0.50653753026634385,0.49346246973365615,25648,1.6217222213745117
./repos/c/nanomsg/build/domain,28,1,4,4,6024,1506,1,0,0.875,0.125,26656,1.506321907043457
./repos/c/nanomsg/build/trie,1991,1,66,66,4664,70.666666666666671,1,0,0.96791443850267378,0.032085561497326207,39208,1.5075905323028564
./repos/c/nanomsg/build/list,202,1,0,0,0,0,1,0,1,0,30256,0.7393820285797119
./repos/c/nanomsg/build/hash,1218308,1,10011,10011,1288064,128.66486864449107,1,0,0.99184983705372953,0.0081501629462704724,26656,1.534386396408081
./repos/c/nanomsg/build/stats,154,1,21,21,20927,996.52380952380952,1,0,0.88,0.12,30752,2.947676181793213
./repos/c/nanomsg/build/symbol,276,1,0,0,0,0,1,0,1,0,25656,0.7331299781799316
./repos/c/nanomsg/build/separation,202,1,51,51,60000,1176.4705882352941,1,0,0.79841897233201586,0.20158102766798419,30752,2.7287404537200928
./repos/c/nanomsg/build/zerocopy,8,1,0,0,0,0,1,0,1,0,26608,0.7241535186767578
./repos/c/nanomsg/build/shutdown,46,1,7,7,10232,1461.7142857142858,1,0,0.86792452830188682,0.13207547169811321,26656,1.6529426574707031
./repos/c/nanomsg/build/cmsg,114,1,23,23,21232,923.13043478260875,1,0,0.83211678832116787,0.16788321167883211,30840,1.7159862518310547
./repos/c/nanomsg/build/bug328,102,1,17,17,18484,1087.2941176470588,1,0,0.8571428571428571,0.14285714285714285,26656,2.6790971755981445
./repos/c/nanomsg/build/bug777,87,1,24,4,71876,2994.8333333333335,1,0,0.78378378378378377,0.21621621621621623,26608,1.5428822040557861
./repos/c/nanomsg/build/ws_async_shutdown,10333,1,1344,1344,2203948,1639.8422619047619,1,0,0.8849019439924638,0.11509805600753618,31168,7.306743144989014
./repos/c/nanomsg/build/reqttl,326,1,53,53,37174,701.39622641509436,1,0,0.86015831134564646,0.13984168865435356,31384,2.4101696014404297
./repos/c/nanomsg/build/surveyttl,311,1,50,50,36195,723.89999999999998,1,0,0.86149584487534625,0.13850415512465375,31384,2.2377986907958984
./repos/c/nanomsg/build/inproc_lat,12,1,1,1,4096,4096,1,0,0.92307692307692313,0.076923076923076927,26984,1.4917409420013428
./repos/c/nanomsg/build/inproc_thr,12,1,1,1,4096,4096,1,0,0.92307692307692313,0.076923076923076927,26896,1.516664981842041
./repos/c/nanomsg/build/local_lat,12,1,1,1,4096,4096,1,0,0.92307692307692313,0.076923076923076927,26112,1.3800513744354248
./repos/c/nanomsg/build/remote_lat,12,1,1,1,4096,4096,1,0,0.92307692307692313,0.076923076923076927,26344,1.3300797939300537
./repos/c/nanomsg/build/local_thr,12,1,1,1,4096,4096,1,0,0.92307692307692313,0.076923076923076927,26256,1.5316975116729736
./repos/c/nanomsg/build/remote_thr,12,1,1,1,4096,4096,1,0,0.92307692307692313,0.076923076923076927,26080,1.4363369941711426
