Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
./repos/c/libuv/build/uv_run_benchmarks_a,14694622107,66,4720152,4718475,18446744071876655529,3908082636295.7495,46,0,0.99967888685651152,0.00032111314348844296,398728.0,1741.959977388382,True
./repos/c/libuv/build/uv_run_tests,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,1343568.0,1200.010053396225,False
./repos/c/libuv/build/uv_run_tests_a,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,stack_inspector timeout,1576816.0,1200.0204873085022,False
AVERAGE,14694622107.0,66.0,4720152.0,4718475.0,1.844674407187665e+19,3908082636295.7495,46.0,0.0,0.9996788868565116,0.0003211131434884,1106370.6666666667,1380.6635060310364,
SUM,14694622107.0,66.0,4720152.0,4718475.0,1.844674407187665e+19,3908082636295.7495,46.0,0.0,0.9996788868565116,0.0003211131434884,3319112.0,4141.990518093109,
