Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
dynamorio/build/suite/tests/bin/client.inline,32,1,0,0,0,0,1,0,1,0,28144.0,0.524368286132813,True
dynamorio/build/suite/tests/bin/client.null_instrument,10030,1,0,0,0,0,1,0,1,0,27816.0,1.05626177787781,True
dynamorio/build/suite/tests/bin/client.large_options,53,2,0,0,0,0,2,0,1,0,28000.0,0.949380397796631,True
dynamorio/build/suite/tests/bin/client.gonative,85,1,1,1,272,272,1,1,0.988372093023256,0.0116279069767442,33000.0,0.699150085449219,True
dynamorio/build/suite/tests/bin/client.drmgr-test,59,1,0,0,0,0,1,0,1,0,28392.0,0.583832263946533,True
dynamorio/build/suite/tests/bin/client.drx_buf-test,1683,1,1,1,272,272,1,1,0.999406175771972,0.000593824228028504,28056.0,0.581593751907349,True
dynamorio/build/suite/tests/bin/client.drbbdup-meta-label-bb-test-exe,0,1,0,0,0,0,1,0,0,0,4920.0,0.190307855606079,True
dynamorio/build/suite/tests/bin/client.drbbdup-meta-nop-bb-test-exe,0,1,0,0,0,0,1,0,0,0,4920.0,0.16450834274292,True
dynamorio/build/suite/tests/bin/client.drbbdup-empty-bb-test-exe,0,1,0,0,0,0,1,0,0,0,4912.0,0.108503818511963,True
dynamorio/build/suite/tests/bin/client.drbbdup-drwrap-test,18,1,0,0,0,0,1,0,1,0,27872.0,0.650308609008789,True
dynamorio/build/suite/tests/bin/client.drbbdup-emul-test,18,1,0,0,0,0,1,0,1,0,27720.0,0.513884782791138,True
dynamorio/build/suite/tests/bin/client.drbbdup-emul-reg-clobber-test,30,1,0,0,0,0,1,0,1,0,27728.0,0.549465894699097,True
dynamorio/build/suite/tests/bin/client.process-id,35,2,2,1,544,272,2,0,0.945945945945946,0.0540540540540541,22752.0,5.71815061569214,True
dynamorio/build/suite/tests/bin/client.drreg-test,523,1,0,0,0,0,1,12,1,0,44072.0,0.628495693206787,True
dynamorio/build/suite/tests/bin/client.drx-test,47,1,0,0,0,0,1,0,1,0,28192.0,0.530917882919312,True
dynamorio/build/suite/tests/bin/client.low_on_memory,422,1,200,200,800,4,1,0,0.678456591639871,0.321543408360129,27816.0,0.56493067741394,True
dynamorio/build/suite/tests/bin/client.tls,47,1,1,1,288,288,1,0,0.979166666666667,0.0208333333333333,28072.0,0.556906223297119,True
dynamorio/build/suite/tests/bin/client.drx-scattergather,2110,1,0,0,0,0,1,1,1,0,32056.0,0.545872688293457,True
dynamorio/build/suite/tests/bin/allasm_scattergather,0,1,0,0,0,0,1,0,0,0,9184.0,0.214574575424194,True
dynamorio/build/suite/tests/bin/allasm_repstr,0,1,0,0,0,0,1,0,0,0,13136.0,0.144418716430664,True
dynamorio/build/suite/tests/bin/client.drwrap-test,18,1,0,0,0,0,1,0,1,0,27864.0,0.605788946151733,True
dynamorio/build/suite/tests/bin/client.drwrap-test-callconv,76,1,1,1,72704,72704,1,0,0.987012987012987,0.012987012987013,27992.0,0.63600492477417,True
dynamorio/build/suite/tests/bin/client.drwrap-test-detach,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1864040.0,1.6951322555542,False
dynamorio/build/suite/tests/bin/client.drwrap-drreg-test,18,1,0,0,0,0,1,0,1,0,27872.0,0.661489009857178,True
dynamorio/build/suite/tests/bin/client.drsyms-test,18,1,1,1,72704,72704,1,0,0.947368421052632,0.0526315789473684,28416.0,0.668616056442261,True
dynamorio/build/suite/tests/bin/client.drutil-test,57,1,0,0,0,0,1,0,1,0,28392.0,0.546549320220947,True
dynamorio/build/suite/tests/bin/client.pcache,24,1,0,0,0,0,1,0,1,0,27800.0,0.592846632003784,True
dynamorio/build/suite/tests/bin/api.dis,0,1,0,0,0,0,1,0,0,0,23232.0,0.297731876373291,True
dynamorio/build/suite/tests/bin/api.startstop,0,1,0,0,0,0,1,0,0,0,33288.0,0.356881618499756,True
dynamorio/build/suite/tests/bin/api.detach,0,1,0,0,0,0,1,0,0,0,33136.0,0.291754961013794,True
dynamorio/build/suite/tests/bin/api.detach_state,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1791088.0,1.60153436660767,False
dynamorio/build/suite/tests/bin/api.detach_signal,0,1,0,0,0,0,1,0,0,0,33520.0,0.490739107131958,True
dynamorio/build/suite/tests/bin/api.detach_spawn,0,1,0,0,0,0,1,0,0,0,32792.0,0.456511735916138,True
dynamorio/build/suite/tests/bin/api.detach_spawn_stress_FLAKY,0,1,0,0,0,0,1,0,0,0,32864.0,0.32233190536499,True
dynamorio/build/suite/tests/bin/api.detach_spawn_quick_exit,0,1,0,0,0,0,1,0,0,0,32864.0,0.365564346313477,True
dynamorio/build/suite/tests/bin/decenc.drdecode_decenc_x86_64,0,1,0,0,0,0,1,0,0,0,506976.0,0.353702306747437,True
dynamorio/build/suite/tests/bin/api.ibl-stress,0,1,0,0,0,0,1,0,0,0,38096.0,0.324504852294922,True
dynamorio/build/suite/tests/bin/api.static_startstop,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1773368.0,1.42366981506348,False
dynamorio/build/suite/tests/bin/api.static_noclient,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1781704.0,1.00952792167664,False
dynamorio/build/suite/tests/bin/api.static_noinit,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1773320.0,1.74475574493408,False
dynamorio/build/suite/tests/bin/api.static_detach,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1781592.0,1.5697500705719,False
dynamorio/build/suite/tests/bin/api.static_prepop,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1781592.0,1.64100289344788,False
dynamorio/build/suite/tests/bin/api.static_reattach_client_flags,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1781776.0,0.854949712753296,False
dynamorio/build/suite/tests/bin/api.static_signal,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,1786736.0,1200.31535172462,False
dynamorio/build/suite/tests/bin/api.static_crash,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1781592.0,5.40275168418884,False
dynamorio/build/suite/tests/bin/api.static_sideline_FLAKY,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,1781688.0,1200.33753442764,False
dynamorio/build/suite/tests/bin/api.static_symbols,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1773368.0,4.74439406394959,False
dynamorio/build/suite/tests/bin/api.static_maps_mixup_yesvars,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1773080.0,1.66460132598877,False
dynamorio/build/suite/tests/bin/api.static_maps_mixup_novars_FLAKY,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,1773024.0,1.60992789268494,False
dynamorio/build/suite/tests/bin/api.thread_churn,0,1,0,0,0,0,1,0,0,0,28248.0,1.05522108078003,True
dynamorio/build/suite/tests/bin/client.nudge_ex,80,2,0,0,0,0,2,0,1,0,28168.0,40.6433665752411,True
dynamorio/build/suite/tests/bin/client.app_args,18,1,0,0,0,0,1,0,1,0,27712.0,0.576577425003052,True
dynamorio/build/suite/tests/bin/client.retaddr,65,1,0,0,0,0,1,13,1,0,27744.0,0.535889148712158,True
dynamorio/build/suite/tests/bin/client.destructor,17,1,1,1,72704,72704,1,0,0.944444444444444,0.0555555555555556,27712.0,1.84853863716125,True
dynamorio/build/suite/tests/bin/client.memval-test,32,1,0,0,0,0,1,0,1,0,27712.0,0.626753091812134,True
dynamorio/build/suite/tests/bin/builtin_prefetch,12,1,1,1,4096,4096,1,0,0.923076923076923,0.0769230769230769,22624.0,0.555068969726563,True
dynamorio/build/suite/tests/bin/tool.multiproc,43,2,0,0,0,0,2,0,1,0,27912.0,0.571102142333984,True
dynamorio/build/suite/tests/bin/stride_benchmark,38,1,2,1,16849920,8424960,1,0,0.95,0.05,23232.0,1.21473383903503,True
dynamorio/build/suite/tests/bin/drmemtrace.signal_invariants,106,1,2,2,544,272,1,2,0.981481481481482,0.0185185185185185,28368.0,0.638226985931397,True
dynamorio/build/suite/tests/bin/tool.heap_test,3025,1,1486,1486,246548,165.913862718708,1,0,0.670583019286189,0.329416980713811,33104.0,0.649502515792847,True
dynamorio/build/suite/tests/bin/tool.drcacheoff.gencode,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,3322152.0,2.33774900436401,False
dynamorio/build/suite/tests/bin/tool.ssse3,0,1,0,0,0,0,1,0,0,0,4896.0,0.189287424087524,True
dynamorio/build/suite/tests/bin/tool.sse41,0,1,0,0,0,0,1,0,0,0,4896.0,0.111093759536743,True
dynamorio/build/suite/tests/bin/tool.sse42,0,1,0,0,0,0,1,0,0,0,4904.0,0.231011152267456,True
dynamorio/build/suite/tests/bin/tool.cpuid,98,1,0,0,0,0,1,0,1,0,27704.0,0.530784130096436,True
dynamorio/build/suite/tests/bin/linux.clone,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,28072.0,0.732234716415405,False
dynamorio/build/suite/tests/bin/linux.clone-pie,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,25896.0,1.00658655166626,False
dynamorio/build/suite/tests/bin/linux.execve-sub64,18,1,0,0,0,0,1,1,1,0,27768.0,0.917739152908325,True
dynamorio/build/suite/tests/bin/linux.execve64,18,1,0,0,0,0,1,0,1,0,27912.0,0.553247928619385,True
dynamorio/build/suite/tests/bin/linux.execve-sub,18,1,0,0,0,0,1,1,1,0,27768.0,0.913336753845215,True
dynamorio/build/suite/tests/bin/linux.execve-null,18,1,0,0,0,0,1,0,1,0,27912.0,0.501007080078125,True
dynamorio/build/suite/tests/bin/linux.execve-config,18,1,0,0,0,0,1,1,1,0,27768.0,0.73671293258667,True
dynamorio/build/suite/tests/bin/linux.execv,18,1,0,0,0,0,1,0,1,0,27904.0,0.482694149017334,True
dynamorio/build/suite/tests/bin/linux.execve-rec,597,1,2,2,1496,748,1,0,0.996661101836394,0.00333889816360601,27984.0,4.40143990516663,True
dynamorio/build/suite/tests/bin/linux.exit,21,1,0,0,0,0,1,0,1,0,27752.0,0.633109092712402,True
dynamorio/build/suite/tests/bin/linux.fork,1629,2,6,6,4488,748,2,0,0.996330275229358,0.0036697247706422,27856.0,0.596560955047607,True
dynamorio/build/suite/tests/bin/linux.fork-sleep,1840,2,6,6,4488,748,2,0,0.996749729144095,0.00325027085590466,27912.0,0.733100652694702,True
dynamorio/build/suite/tests/bin/linux.infinite,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,stack_inspector parsing error,22432.0,0.768512964248657,False
dynamorio/build/suite/tests/bin/linux.longjmp,36,1,0,0,0,0,1,0,1,0,27864.0,0.626993894577026,True
