Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status, Reason,Reason,Language
./repos/c++/magic_enum/build/test/test_containers-cpp23,1125447.0,1.0,2558.0,2558.0,457714.0,178.934323690383,1.0,0.0,0.997732279555498,0.0022677204445015,2966944.0,6.94663739204407,True,,,C++
./repos/c++/magic_enum/build/test/test_containers-cpp20,1125447.0,1.0,2558.0,2558.0,457714.0,178.934323690383,1.0,0.0,0.997732279555498,0.0022677204445015,2966944.0,7.48087668418884,True,,,C++
./repos/c++/magic_enum/build/test/test_containers-cpp17,522959.0,1.0,2558.0,2558.0,457714.0,178.934323690383,1.0,0.0,0.995132412462394,0.0048675875376058,2918096.0,7.27353525161743,True,,,C++
./repos/c++/magic_enum/build/test/test_aliases-cpp23,1086459.0,1.0,2506.0,2506.0,455820.0,181.891460494812,1.0,0.0,0.997698732282488,0.0023012677175115,2828848.0,6.90513944625855,True,,,C++
./repos/c++/magic_enum/build/test/test_aliases-cpp20,1086459.0,1.0,2506.0,2506.0,455820.0,181.891460494812,1.0,0.0,0.997698732282488,0.0023012677175115,2828848.0,6.96878743171692,True,,,C++
./repos/c++/magic_enum/build/test/test_aliases-cpp17,492407.0,1.0,2506.0,2506.0,455820.0,181.891460494812,1.0,0.0,0.994936483786039,0.0050635162139608,2783464.0,6.86965250968933,True,,,C++
./repos/c++/magic_enum/build/test/test-cpp23,1703836.0,1.0,3086.0,3086.0,503394.0,163.121840570318,1.0,0.0,0.998192067358673,0.0018079326413274,3475384.0,8.98444581031799,True,,,C++
./repos/c++/magic_enum/build/test/test-cpp20,1703836.0,1.0,3086.0,3086.0,503394.0,163.121840570318,1.0,0.0,0.998192067358673,0.0018079326413274,3475384.0,9.39711380004883,True,,,C++
./repos/c++/magic_enum/build/test/test-cpp17,857002.0,1.0,3086.0,3086.0,503394.0,163.121840570318,1.0,0.0,0.996411995051669,0.0035880049483308,3430080.0,9.01926970481873,True,,,C++
./repos/c++/magic_enum/build/example/example_switch,1048.0,1.0,3.0,3.0,77851.0,25950.3333333333,1.0,0.0,0.997145575642246,0.0028544243577545,78088.0,5.52990055084229,True,,,C++
./repos/c++/magic_enum/build/example/example_custom_name,525.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.996204933586338,0.0037950664136622,43440.0,5.42576503753662,True,,,C++
./repos/c++/magic_enum/build/example/example_containers_set,1347.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.998517420311342,0.0014825796886582,42800.0,5.52864956855774,True,,,C++
./repos/c++/magic_enum/build/example/example_containers_bitset,671.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.99702823179792,0.0029717682020802,32496.0,5.52866077423096,True,,,C++
./repos/c++/magic_enum/build/example/example_containers_array,338.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.994117647058824,0.0058823529411764,29816.0,5.52362251281738,True,,,C++
./repos/c++/magic_enum/build/example/example,1246.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.998397435897436,0.0016025641025641,48200.0,5.40818667411804,True,,,C++
./repos/c++/magic_enum/build/example/enum_flag_example,2226.0,1.0,2.0,2.0,77824.0,38912.0,1.0,0.0,0.999102333931777,0.0008976660682226,51248.0,5.35294842720032,True,,,C++
./repos/c++/json/build/tests/test-wstring_cpp11,49864.0,1.0,138.0,138.0,124135.0,899.5289855072464,1.0,0.0,0.997240110395584,0.0027598896044158,1272808.0,2.3002138137817383,True,,,C++
./repos/c++/json/build/tests/test-windows_h_cpp11,10912.0,1.0,16.0,16.0,115083.0,7192.6875,1.0,0.0,0.9985358711566616,0.0014641288433382,524120.0,1.1619117259979248,True,,,C++
./repos/c++/json/build/tests/test-user_defined_input_cpp11,43411.0,1.0,76.0,76.0,117358.0,1544.1842105263158,1.0,0.0,0.9982523512773932,0.0017476487226067,1246552.0,1.6620652675628662,True,,,C++
./repos/c++/json/build/tests/test-unicode5_cpp11,12265.0,1.0,22.0,22.0,115942.0,5270.090909090909,1.0,0.0,0.9982094897045658,0.0017905102954341,1205704.0,1.450045824050903,True,,,C++
./repos/c++/json/build/tests/test-unicode4_cpp11,12265.0,1.0,22.0,22.0,115942.0,5270.090909090909,1.0,0.0,0.9982094897045658,0.0017905102954341,1205704.0,1.668834209442139,True,,,C++
./repos/c++/json/build/tests/test-unicode3_cpp11,12265.0,1.0,22.0,22.0,115942.0,5270.090909090909,1.0,0.0,0.9982094897045658,0.0017905102954341,1205704.0,1.473510980606079,True,,,C++
./repos/c++/json/build/tests/test-unicode2_cpp11,12265.0,1.0,22.0,22.0,115942.0,5270.090909090909,1.0,0.0,0.9982094897045658,0.0017905102954341,1209800.0,1.4843847751617432,True,,,C++
./repos/c++/json/build/tests/test-unicode1_cpp11,742458.0,1.0,3602.0,3602.0,448258.0,124.446973903387,1.0,0.0,0.9951719700828352,0.0048280299171648,1353192.0,2.146568775177002,True,,,C++
