Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
leveldb/build/db_bench,3921509745.0,1.0,60901144.0,60901140.0,1555024875.0,25.5335905512711,1.0,0.0,0.984707468491456,0.0152925315085437,388936.0,958.550206184387,True
leveldb/build/c_test,6570897.0,1.0,47863.0,47859.0,10381484.0,216.899985374924,1.0,0.0,0.992768585052185,0.007231414947815,376376.0,8.77430272102356,True
leveldb/build/env_posix_test,69222841.0,7.0,1864.0,1862.0,1314117.0,704.99839055794,7.0,0.0,0.999973073196917,2.69268030828011e-05,673248.0,21.0459339618683,True
AVERAGE,1332434494.3333333,3.0,20316957.0,20316953.666666668,522240158.6666667,315.8106554947117,3.0,0.0,0.9924830422468526,0.0075169577531471,479520.0,329.45681428909296,
SUM,3997303483.0,9.0,60950871.0,60950861.0,1566720476.0,947.431966484135,9.0,0.0,2.9774491267405576,0.0225508732594415,1438560.0,988.3704428672788,0.0
