Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status,Reason
./repos/c++/json/build/tests/test-udl_cpp11,82752,1,206,206,121259,588.63592233009706,1,0,0.99751681573808437,0.0024831842619156682,1157064,1.6826832294464111,True
./repos/c++/json/build/tests/test-udt_cpp11,399516,1,841,841,154773,184.0344827586207,1,0,0.99789937480798385,0.0021006251920161257,2542096,3.2562506198883057,True
./repos/c++/json/build/tests/test-algorithms_cpp11,821754,1,1708,1708,194159,113.67622950819673,1,0,0.99792583021438752,0.0020741697856124508,1217040,2.6315433979034424,True
./repos/c++/json/build/tests/test-iterators1_cpp11,659937,1,1607,1607,197148,122.68077162414437,1,0,0.99757083429068971,0.0024291657093103406,1264752,3.1709084510803223,True
./repos/c++/json/build/tests/test-windows_h_cpp11,10912,1,16,16,115083,7192.6875,1,0,0.99853587115666176,0.0014641288433382138,524120,1.3264169692993164,True
./repos/c++/json/build/tests/test-alt-string_cpp11,80386,1,174,174,124578,715.9655172413793,1,0,0.99784011916583915,0.0021598808341608739,1351576,1.9551947116851807,True
./repos/c++/json/build/tests/test-reference_access_cpp11,208505,1,1117,1117,193922,173.60966875559535,1,0,0.99467136083044716,0.0053286391695528141,1238832,2.068181037902832,True
./repos/c++/json/build/tests/test-diagnostics_cpp11,231249,1,647,647,159281,246.1839258114374,1,0,0.99720995618725639,0.0027900438127436435,1532280,2.1492881774902344,True
./repos/c++/json/build/tests/test-assert_macro_cpp11,13000,1,39,39,116476,2986.5641025641025,1,0,0.99700897308075775,0.0029910269192422734,826680,1.5053143501281738,True
./repos/c++/json/build/tests/test-regression2_cpp11,495852,1,3027,3027,337097,111.36339610175091,1,0,0.99393239643280229,0.0060676035671976573,3879544,3.677859306335449,True
./repos/c++/json/build/tests/test-bson_cpp11,1664483,1,4573,4573,319420,69.849114366936362,1,0,0.99726012788067031,0.0027398721193297288,2377184,3.116046667098999,True
./repos/c++/json/build/tests/test-bjdata_cpp11,3077394438,1,426479,426479,359446330,842.82304638680921,1,0,0.99986143475806388,0.0001385652419360694,3093408,170.1550738811493,True
./repos/c++/json/build/tests/test-regression1_cpp11,7130318425,1,2239056,2239056,391065876,174.65658563251657,1,0,0.99968607950150212,0.00031392049849783749,3964048,439.49544620513916,True
./repos/c++/json/build/tests/test-cbor_cpp11,1959183349,1,1431495,1431495,111964718,78.215235121324213,1,0,0.99926987444556958,0.00073012555443041421,2952184,162.8033905029297,True
./repos/c++/json/build/tests/test-readme_cpp11,10091,1,16,16,115074,7192.125,1,0,0.99841693875531812,0.0015830612446819036,2069368,1.8204231262207031,True
./repos/c++/json/build/tests/test-regression2_cpp17,542083,1,3472,3472,368591,106.16100230414746,1,0,0.99363583873303329,0.0063641612669666668,3862912,5.178500413894653,True
./repos/c++/json/build/tests/test-byte_container_with_subtype_cpp11,23896,1,26,26,115421,4439.2692307692305,1,0,0.99891313435331497,0.0010868656466850597,559256,1.884467601776123,True
./repos/c++/json/build/tests/test-class_parser_cpp11,23006050,1,97648,97648,6908069,70.744603064066851,1,0,0.99577349046027175,0.0042265095397282289,2410584,12.353465795516968,True
./repos/c++/json/build/tests/test-comparison_legacy_cpp20,3840638,1,1596,1596,167799,105.13721804511279,1,0,0.99958461665791309,0.00041538334208692131,1510096,3.6118056774139404,True
./repos/c++/json/build/tests/test-testsuites_cpp11,68125924,1,36040,36040,12003436,333.05871254162042,1,0,0.99947125936688097,0.00052874063311908091,1650272,8.34488320350647,True
./repos/c++/json/build/tests/test-user_defined_input_cpp11,43411,1,76,76,117358,1544.1842105263158,1,0,0.9982523512773932,0.001747648722606756,1246552,1.7134275436401367,True
./repos/c++/json/build/tests/test-comparison_legacy_cpp11,2984911,1,1362,1362,160321,117.70998531571219,1,0,0.9995439130983671,0.00045608690163290497,1449328,2.7254114151000977,True
./repos/c++/json/build/tests/test-conversions_cpp11,1643462,1,8580,8580,488775,56.96678321678322,1,0,0.9948064274394961,0.0051935725605039094,3439800,5.488734722137451,True
./repos/c++/json/build/tests/test-comparison_cpp20,3354938,1,1304,1304,158554,121.59049079754601,1,0,0.99961147020983587,0.00038852979016411809,1236712,2.5937559604644775,True
./repos/c++/json/build/tests/test-regression2_cpp20,732234,1,3796,3796,390712,102.927291886196,1,0,0.99484260152439441,0.0051573984756056136,4064864,4.269607782363892,True
./repos/c++/json/build/tests/test-pointer_access_cpp11,124770,1,652,652,137167,210.37883435582822,1,0,0.99480154996731041,0.0051984500326896395,1270296,2.216248035430908,True
./repos/c++/json/build/tests/test-hash_cpp11,45200,1,110,110,118622,1078.3818181818183,1,0,0.99757227984992281,0.0024277201500772457,1331112,1.8888952732086182,True
./repos/c++/json/build/tests/test-comparison_cpp11,2527929,1,1075,1075,151210,140.66046511627906,1,0,0.99957493147499965,0.00042506852500035587,1165400,2.5008347034454346,True
./repos/c++/json/build/tests/test-element_access2_cpp11,5478470,1,16781,16781,1006793,59.996007389309341,1,0,0.99694627233587696,0.0030537276641230764,2384344,6.536038637161255,True
./repos/c++/json/build/tests/test-wstring_cpp11,49864,1,138,138,124135,899.52898550724638,1,0,0.99724011039558413,0.0027598896044158236,1272808,1.95402193069458,True
./repos/c++/json/build/tests/test-no-mem-leak-on-adl-serialize_cpp11,16117,1,37,37,116731,3154.8918918918921,1,0,0.99770954562337499,0.0022904543766249846,815824,1.380143642425537,True
