Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time
./repos/c++/leveldb/build/db_bench,3992798370,1,60901338,60901334,1556472210,25.5572744559405,1,0,0.984976356813059,0.0150236431869413,388936,954.381890058518
./repos/c++/leveldb/build/c_test,6592378,1,47863,47859,10381484,216.899985374924,1,0,0.992791978483913,0.00720802151608654,376376,4.53278160095215
./repos/c++/leveldb/build/env_posix_test,69222841,7,1816,1814,1313199,723.127202643172,7,0,0.999973766572798,2.62334272021023E-05,673248,16.409520149231
AVERAGE,,,,,,,,,,0.0074192993767433,,
,,,,,,,,,,0.0147596714945304,,
