Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
./repos/c++/snappy/build/snappy_unittest,1351624.0,1.0,431.0,425.0,2655093.0,6160.308584686775,1.0,0.0,0.9996812259856293,0.0003187740143707,2170096.0,6.536380529403687,True
AVERAGE,1351624.0,1.0,431.0,425.0,2655093.0,6160.308584686775,1.0,0.0,0.9996812259856293,0.0003187740143707,2170096.0,6.536380529403687,
SUM,1351624.0,1.0,431.0,425.0,2655093.0,6160.308584686775,1.0,0.0,0.9996812259856293,0.0003187740143707,2170096.0,6.536380529403687,0.0
